note,accord,p,lift
Cade oil,warm spicy,0.5204,1.5148
Cake,sweet,0.8592,1.8697
Cake,vanilla,0.5845,2.2312
Calabrian bergamot,citrus,0.8111,1.7844
Calabrian bergamot,woody,0.7108,1.1516
Calabrian bergamot,fresh spicy,0.6329,1.7664
Calabrian bergamot,aromatic,0.5852,1.4139
Calamus,woody,0.8992,1.4569
Calamus,warm spicy,0.6202,1.8054
Calamus,aromatic,0.5891,1.4234
Calamus,amber,0.5504,1.5967
Calone,fresh,0.8817,3.4747
Calone,citrus,0.6487,1.4272
Calone,woody,0.6344,1.0278
Calone,aromatic,0.5878,1.4202
Cambodian Oud,woody,0.9269,1.5018
Cambodian Oud,warm spicy,0.7877,2.293
Cambodian Oud,animalic,0.7831,5.6636
Camelia,floral,0.9634,2.7284
Camelia,powdery,0.9268,1.9444
Camelia,citrus,0.5366,1.1805
Camellia,floral,0.9244,2.6178
Camellia,powdery,0.8571,1.7982
Camellia,citrus,0.5042,1.1092
Camphor,woody,0.7527,1.2195
Camphor,camphor,0.6758,112.4357
Camphor,aromatic,0.6758,1.6328
Camphor,fresh spicy,0.5549,1.5488
Candied Almond,sweet,0.8548,1.8603
Candied Almond,vanilla,0.629,2.4011
Candied Almond,warm spicy,0.5645,1.6434
Candied Almond,almond,0.5,19.187
Candied Almond,woody,0.5,0.8101
Candied Fruits,sweet,0.9394,2.0443
Candied Fruits,fruity,0.7475,2.2816
Candied Fruits,vanilla,0.5051,1.9279
Candy apple,sweet,0.9815,2.1359
Candy apple,fruity,0.8981,2.7415
Candy apple,gourmand,0.8611,752.3602
Candy apple,powdery,0.537,1.1267
Cappuccino,sweet,0.7253,1.5783
Cappuccino,coffee,0.6923,50.3229
Cappuccino,woody,0.6813,1.1038
Carambola (Star Fruit),fruity,0.9532,2.9096
Carambola (Star Fruit),tropical,0.7778,15.7574
Carambola (Star Fruit),sweet,0.6316,1.3744
Carambola (Star Fruit),fresh,0.614,2.4198
Carambola (Star Fruit),citrus,0.5906,1.2994
Caramel,sweet,0.8809,1.9169
Caramel,caramel,0.736,24.2251
Caramel,vanilla,0.5841,2.2295
Caramel,powdery,0.5228,1.0968
Caraway,fresh spicy,0.8212,2.292
Caraway,woody,0.8091,1.3109
Caraway,aromatic,0.7903,1.9094
Caraway,warm spicy,0.5511,1.6043
Cardamom,warm spicy,0.8546,2.4878
Cardamom,aromatic,0.8047,1.9441
Cardamom,woody,0.7674,1.2432
Cardamom,fresh spicy,0.5506,1.5366
Cardamon,warm spicy,0.8312,2.4196
Cardamon,aromatic,0.8052,1.9454
Cardamon,woody,0.7597,1.2309
Cardamon,fresh spicy,0.6299,1.7579
Cardamon,citrus,0.5779,1.2714
Carnation,floral,0.7562,2.1415
Carnation,woody,0.7079,1.1469
Carnation,warm spicy,0.6913,2.0124
Carnation,aromatic,0.619,1.4956
Carrot,powdery,0.8258,1.7325
Carrot,woody,0.6387,1.0348
Carrot Seeds,powdery,0.8373,1.7565
Carrot Seeds,woody,0.7358,1.1922
Carrot Seeds,musky,0.5637,1.807
Carrot Seeds,aromatic,0.559,1.3505
Casablanca Lily,white floral,0.8431,2.8163
Casablanca Lily,woody,0.6275,1.0165
Casablanca Lily,sweet,0.5882,1.2801
Casablanca Lily,powdery,0.5294,1.1107
Cashmeran,woody,0.8701,1.4096
Cashmeran,powdery,0.7439,1.5607
Cashmeran,musky,0.6329,2.0288
Cashmeran,amber,0.5557,1.6122
Cashmere Musk,musky,0.6939,2.2244
Cashmere Musk,powdery,0.6857,1.4386
Cashmere Musk,woody,0.6449,1.0448
Cashmere Musk,sweet,0.5306,1.1547
Cashmere Wood,woody,0.872,1.4128
Cashmere Wood,musky,0.5722,1.8343
Cashmere Wood,amber,0.5688,1.6501
Cashmirwood,woody,0.8714,1.4118
Cashmirwood,amber,0.6,1.7406
Cashmirwood,musky,0.5857,1.8777
Cassia,woody,0.742,1.2022
Cassia,aromatic,0.658,1.5897
Cassia,fruity,0.6087,1.858
Cassis,woody,0.6861,1.1115
Cassis,fruity,0.6817,2.0807
Cassis,aromatic,0.6773,1.6363
Cassis,green,0.5232,2.3199
Castoreum,woody,0.8671,1.4048
Castoreum,leather,0.6403,7.8156
Castoreum,amber,0.6208,1.801
Castoreum,musky,0.527,1.6893
Cedar,woody,0.8814,1.428
Cedar,aromatic,0.5797,1.4007
Cedar,citrus,0.5471,1.2036
Cedar,powdery,0.5393,1.1313
Cedar Leaves,woody,0.8689,1.4076
Cedar Leaves,aromatic,0.7049,1.7031
Cedar Leaves,amber,0.5738,1.6645
Cedar Leaves,citrus,0.5738,1.2623
Cedar Leaves,fresh spicy,0.541,1.5098
Cedar Needles,woody,0.9685,1.5691
Cedar Needles,aromatic,0.8346,2.0165
Cedar Needles,fresh spicy,0.6693,1.8679
Cedar Needles,citrus,0.6063,1.3338
Cedarwood,woody,0.8745,1.4168
Cedarwood,aromatic,0.5401,1.3048
Cedarwood,powdery,0.5212,1.0934
Cedarwood,citrus,0.518,1.1397
Celery,aromatic,0.87,2.102
Celery,woody,0.7,1.1341
Celery,green,0.62,2.749
Celery,fresh spicy,0.59,1.6466
Celery Seeds,aromatic,0.8594,2.0763
Celery Seeds,woody,0.7812,1.2657
Celery Seeds,fresh spicy,0.6719,1.8752
Celery Seeds,green,0.5938,2.6326
Celery Seeds,citrus,0.5156,1.1344
Cetalox,woody,0.8904,1.4426
Cetalox,amber,0.8082,2.3446
Cetalox,musky,0.7397,2.3714
Ceylon Cinnamon,warm spicy,0.8134,2.3679
Ceylon Cinnamon,woody,0.7895,1.279
Ceylon Cinnamon,amber,0.5598,1.624
Ceylon Cinnamon,citrus,0.512,1.1263
Ceylon Cinnamon,fresh spicy,0.5072,1.4155
Chamomile,aromatic,0.7021,1.6962
Chamomile,herbal,0.6726,10.3092
Chamomile,floral,0.5988,1.6958
Chamomile,woody,0.5969,0.967
Chamomile,fresh spicy,0.5703,1.5917
Champaca,floral,0.8569,2.4266
Champaca,sweet,0.7156,1.5573
Champaca,woody,0.646,1.0465
Champagne,Champagne,0.7585,321.7805
Champagne,sweet,0.6585,1.4331
Champagne,fruity,0.6488,1.9803
Champagne,citrus,0.5951,1.3093
Champagne,aldehydic,0.5244,19.4552
Cherry,sweet,0.9143,1.9897
Cherry,cherry,0.8018,58.6661
Cherry,fruity,0.6366,1.9433
Cherry Blossom,floral,0.9563,2.7082
Cherry Blossom,fruity,0.7966,2.4316
Cherry Blossom,fresh,0.7882,3.1063
Cherry Blossom,sweet,0.5429,1.1813
Cherry Blossom,powdery,0.516,1.0825
Cherry Liqueur,sweet,0.8902,1.9373
Cherry Liqueur,vanilla,0.7073,2.7
Cherry Liqueur,woody,0.6951,1.1262
Cherry Liqueur,fruity,0.6585,2.0101
Cherry Liqueur,cherry,0.5976,43.725
Cherry Liqueur,almond,0.5122,19.655
Chestnut,warm spicy,0.6906,2.0103
Chestnut,woody,0.6743,1.0924
Chestnut,balsamic,0.5635,4.0934
Chestnut,sweet,0.544,1.1838
Chestnut,amber,0.5342,1.5497
Chili Pepper,warm spicy,0.949,2.7628
Chili Pepper,woody,0.6943,1.1248
Chili Pepper,fresh spicy,0.5032,1.4044
Chili Pepper,aromatic,0.5032,1.2157
Chinese Osmanthus,floral,0.75,2.124
Chinese Osmanthus,fruity,0.6875,2.0985
Chinese Osmanthus,woody,0.6607,1.0704
Chocolate,sweet,0.8835,1.9227
Chocolate,warm spicy,0.8371,2.437
Chocolate,chocolate,0.6733,57.1645
Chocolate,vanilla,0.5278,2.0145
Choya Loban,amber,0.8824,2.5597
Choya Loban,woody,0.7451,1.2072
Choya Loban,balsamic,0.6078,4.4154
Choya Loban,warm spicy,0.5294,1.5412
Choya Loban,aromatic,0.5294,1.2791
Chrysanthemum,herbal,0.7609,11.6628
