primary_descriptor,secondary_descriptor,count
Acidic,Ethereal,1
Acidic,Food Like,1
Acidic,Green,1
Acidic,Oily,1
Acidic,Sour,1
Acidic,Woody,1
Aldehydic,Balsamic,1
Aldehydic,Chocolate,1
Aldehydic,Coconut,1
Aldehydic,Cucumber,1
Aldehydic,Earthy,1
Aldehydic,Hyacinth,1
Aldehydic,Lemon,1
Aldehydic,Mossy,1
Aldehydic,Nutty,1
Aldehydic,Ozonic,1
Aldehydic,Peach,1
Aldehydic,Sweet,1
Aldehydic,Woody,1
Amber,Aromatic,1
Amber,Cedarwood,1
Amber,Herbal,1
Amber,Honey,1
Amber,Mossy,1
Amber,Musk Like,1
Amber,Sage,1
Amber,Smoky,1
Amber,Spicy,1
Animal Like,Creamy,1
Animal Like,Green,1
Animal Like,Musk Like,1
Animal Like,Musty,1
Animal Like,Pungent,1
Animal Like,Rose,1
Animal Like,Terpenic,1
Anisic,Almond,1
Anisic,Balsamic,1
Anisic,Cherry,1
Anisic,Fruity,1
Anisic,Smoky,1
Aromatic,Earthy,1
Aromatic,Eucalyptus,1
Aromatic,Green,1
Aromatic,Medicinal,1
Aromatic,Rosemary,1
Aromatic,Spearmint,1
Aromatic,Sweet,1
Aromatic,Thyme,1
Aromatic,Waxy,1
Balsamic,Animal Like,1
Balsamic,Earthy,1
Balsamic,Hawthorn,1
Balsamic,Hay,1
Balsamic,Herbal,1
Balsamic,Jasmin,1
Balsamic,Light,1
Balsamic,Peppery,1
Balsamic,Phenolic,1
Balsamic,Pine,1
Balsamic,Powdery,1
Balsamic,Rubbery,1
Balsamic,Sage,1
Balsamic,Waxy,1
Balsamic,Ylang,1
Camphoraceous,Aldehydic,1
Camphoraceous,Earthy,1
Camphoraceous,Minty,1
Camphoraceous,Pine,1
Camphoraceous,Rosemary,1
Camphoraceous,Sweet,1
Camphoraceous,Warm,1
Camphoraceous,Woody,1
Citrus,Balsamic,1
Citrus,Bitter,1
Citrus,Camphoraceous,1
Citrus,Cinnamon,1
Citrus,Citronella,1
Citrus,Citrus,1
Citrus,Eucalyptus,1
Citrus,Geranium,1
Citrus,Honey,1
Citrus,Labdanum,1
Citrus,Lily,1
Citrus,Marine,1
Citrus,Oily,1
Citrus,Petitgrain,1
Citrus,Sulfurous,1
Citrus,Tropical Fruit,1
Citrus,Vetiver,1
Earthy,Balsamic,1
Earthy,Floral,1
Earthy,Fruity,1
Earthy,Fungal,1
Earthy,Lavender,1
Earthy,Mossy,1
Earthy,Orris,1
Earthy,Phenolic,1
Earthy,Popcorn,1
Earthy,Rooty,1
Floral,Apricot,1
Floral,Banana,1
Floral,Berry,1
Floral,Buttery,1
Floral,Cassis,1
Floral,Cedarwood,1
Floral,Celery,1
Floral,Cherry,1
Floral,Clean,1
Floral,Coumarin,1
Floral,Cucumber,1
Floral,Fermented,1
Floral,Frangipani,1
Floral,Gourmand,1
Floral,Heliotrope,1
Floral,Indolic,1
Floral,Iris,1
Floral,Lactonic,1
Floral,Lemon,1
Floral,Light,1
Floral,Linden,1
Floral,Marigold,1
Floral,Meadow,1
Floral,Melon,1
Floral,Musty,1
Floral,Myrrh,1
Floral,Neutral,1
Floral,Oriental,1
Floral,Osmanthus,1
Floral,Peppery,1
Floral,Petitgrain,1
Floral,Sulfurous,1
Floral,Sweet Pea,1
Floral,Terpenic,1
Food Like,Almond,1
Food Like,Bread,1
Food Like,Cabbage,1
Food Like,Cocoa,1
Food Like,Creamy,1
Food Like,Fatty,1
Food Like,Fermented,1
Food Like,Fruity,1
Food Like,Fungal,1
Food Like,Garlic,1
Food Like,Leathery,1
Food Like,Milky,1
Food Like,Oily,1
Food Like,Potato,1
Food Like,Rice,1
Food Like,Sulfurous,1
Food Like,Sweet,1
Food Like,Woody,1
Food Like,Yeast,1
Fruity,Amber,1
Fruity,Burnt,1
Fruity,Fatty,1
Fruity,Fenugreek,1
Fruity,Food Like,1
Fruity,Fungal,1
Fruity,Geranium,1
Fruity,Honeydew,1
Fruity,Hyacinth,1
Fruity,Kiwi,1
Fruity,Leafy,1
Fruity,Leathery,1
Fruity,Lemon,1
Fruity,Licorice,1
Fruity,Musty,1
Fruity,Myrrh,1
Fruity,Neroli,1
Fruity,Pungent,1
Fruity,Sharp,1
Fruity,Soapy,1
Fruity,Tagetes,1
Fruity,Valerian,1
Fruity,Vanilla,1
Fruity,Vegetable,1
Fruity,Warm,1
Fruity,Watermelon,1
Fruity,Watery,1
Fruity,Wine,1
Fruity,Wine Lees*,1
Gourmand,Acidic,1
Gourmand,Berry,1
Gourmand,Burnt,1
Gourmand,Fermented,1
Gourmand,Grape,1
Gourmand,Green,1
Gourmand,Hay,1
Gourmand,Lactonic,1
Gourmand,Malty,1
Gourmand,Maple,1
Gourmand,Medicinal,1
Gourmand,Musty,1
Gourmand,Phenolic,1
Gourmand,Pineapple,1
Gourmand,Rose,1
Gourmand,Rum,1
Gourmand,Smoky,1
