surface_form,normalized_form,feature_type,feature_name,mapping_type,evidence_level
Black Pepper,black pepper,NOTE,Black Pepper,LEVEL_A_DIRECT,A
Black Pomegranate,black pomegranate,NOTE,Black Pomegranate,LEVEL_A_DIRECT,A
Black Rose,black rose,NOTE,Black Rose,LEVEL_A_DIRECT,A
Black Sapote,black sapote,NOTE,Black Sapote,LEVEL_A_DIRECT,A
Black Sesame,black sesame,NOTE,Black Sesame,LEVEL_A_DIRECT,A
Black Spruce,black spruce,NOTE,Black Spruce,LEVEL_A_DIRECT,A
Black Tea,black tea,NOTE,Black Tea,LEVEL_A_DIRECT,A
Black Vanilla Husk,black vanilla husk,NOTE,Black Vanilla Husk,LEVEL_A_DIRECT,A
Black Violet,black violet,NOTE,Black Violet,LEVEL_A_DIRECT,A
Black Walnut,black walnut,NOTE,Black Walnut,LEVEL_A_DIRECT,A
Blackberry,blackberry,NOTE,Blackberry,LEVEL_A_DIRECT,A
Blackberry Blossom,blackberry blossom,NOTE,Blackberry Blossom,LEVEL_A_DIRECT,A
Blackberry leaf,blackberry leaf,NOTE,Blackberry leaf,LEVEL_A_DIRECT,A
Blackcurrant,blackcurrant,NOTE,Blackcurrant,LEVEL_A_DIRECT,A
Blackcurrant Juice,blackcurrant juice,NOTE,Blackcurrant Juice,LEVEL_A_DIRECT,A
Blackcurrant Syrup,blackcurrant syrup,NOTE,Blackcurrant Syrup,LEVEL_A_DIRECT,A
Blackthorn,blackthorn,NOTE,Blackthorn,LEVEL_A_DIRECT,A
Blackwood,blackwood,NOTE,Blackwood,LEVEL_A_DIRECT,A
Blonde Tobacco,blonde tobacco,NOTE,Blonde Tobacco,LEVEL_A_DIRECT,A
Blonde Woods,blonde woods,NOTE,Blonde Woods,LEVEL_A_DIRECT,A
Blood,blood,NOTE,Blood,LEVEL_A_DIRECT,A
Blood Grapefruit,blood grapefruit,NOTE,Blood Grapefruit,LEVEL_A_DIRECT,A
Blood Mandarin,blood mandarin,NOTE,Blood Mandarin,LEVEL_A_DIRECT,A
Blood Orange,blood orange,NOTE,Blood Orange,LEVEL_A_DIRECT,A
Blue Amber,blue amber,NOTE,Blue Amber,LEVEL_A_DIRECT,A
Blue Bugle,blue bugle,NOTE,Blue Bugle,LEVEL_A_DIRECT,A
Blue Curacao,blue curacao,NOTE,Blue Curacao,LEVEL_A_DIRECT,A
Blue Cypress,blue cypress,NOTE,Blue Cypress,LEVEL_A_DIRECT,A
Blue Hyacinth,blue hyacinth,NOTE,Blue Hyacinth,LEVEL_A_DIRECT,A
Blue Lavender,blue lavender,NOTE,Blue Lavender,LEVEL_A_DIRECT,A
Blue Lilies,blue lilies,NOTE,Blue Lilies,LEVEL_A_DIRECT,A
Blue Lotus,blue lotus,NOTE,Blue Lotus,LEVEL_A_DIRECT,A
Blue Margarita,blue margarita,NOTE,Blue Margarita,LEVEL_A_DIRECT,A
Blue Pea Flower,blue pea flower,NOTE,Blue Pea Flower,LEVEL_A_DIRECT,A
Blue Poppy,blue poppy,NOTE,Blue Poppy,LEVEL_A_DIRECT,A
Blue Rose,blue rose,NOTE,Blue Rose,LEVEL_A_DIRECT,A
Blue Sage,blue sage,NOTE,Blue Sage,LEVEL_A_DIRECT,A
Bluebell,bluebell,NOTE,Bluebell,LEVEL_A_DIRECT,A
Blueberry,blueberry,NOTE,Blueberry,LEVEL_A_DIRECT,A
Blueberry Jam,blueberry jam,NOTE,Blueberry Jam,LEVEL_A_DIRECT,A
Blueberry Leaf,blueberry leaf,NOTE,Blueberry Leaf,LEVEL_A_DIRECT,A
Bohea (Wuyi Tea),bohea (wuyi tea),NOTE,Bohea (Wuyi Tea),LEVEL_A_DIRECT,A
Bois d'Encens,bois d'encens,NOTE,Bois d'Encens,LEVEL_A_DIRECT,A
Boisiris,boisiris,NOTE,Boisiris,LEVEL_A_DIRECT,A
Boletus edulis,boletus edulis,NOTE,Boletus edulis,LEVEL_A_DIRECT,A
Bonbon,bonbon,NOTE,Bonbon,LEVEL_A_DIRECT,A
Boozy Notes,boozy notes,NOTE,Boozy Notes,LEVEL_A_DIRECT,A
