accord,accord_frequency,eligible_perfume_count,mean_winter_share,corpus_winter_share,winter_lift,mean_spring_share,corpus_spring_share,spring_lift,mean_summer_share,corpus_summer_share,summer_lift,mean_autumn_share,corpus_autumn_share,autumn_lift,dominant_season_by_share,strongest_season_by_lift,second_season_by_lift,weakest_season_by_lift
tropical,6512,3278,0.13406948105554578,0.21015620864724194,0.6379515595496317,0.31171654393218146,0.2857808718775258,1.0907537018984623,0.3662705489044589,0.23873846990843414,1.5341915739216159,0.1879434261078146,0.265324449566811,0.7083532121320346,summer,summer,spring,winter
mossy,6173,2755,0.19167794431548413,0.21015620864724194,0.9120736691497203,0.29535456811162575,0.2857808718775258,1.0335001295615154,0.2379380182088416,0.23873846990843414,0.996647160803621,0.2750294693640499,0.265324449566811,1.0365779324637594,spring,autumn,spring,winter
ozonic,5777,2844,0.12263046284022844,0.21015620864724194,0.5835205327960118,0.3461644826869854,0.2857808718775258,1.2112933955752558,0.34100684027133593,0.23873846990843414,1.4283698827513045,0.1901982142014515,0.265324449566811,0.7168514417423033,spring,summer,spring,winter
tobacco,4372,1966,0.3338327524820191,0.21015620864724194,1.5884981682476706,0.19722055010396602,0.2857808718775258,0.6901110938890508,0.11086023381748153,0.23873846990843414,0.4643584834065533,0.35808646359653457,0.265324449566811,1.3496172862364322,autumn,winter,autumn,summer
marine,4326,1914,0.0975495351433142,0.21015620864724194,0.46417631804091086,0.3253766377026482,0.2857808718775258,1.1385528904191025,0.40464429040498623,0.23873846990843414,1.6949270495039348,0.1724295367490512,0.265324449566811,0.6498818221636674,summer,summer,spring,winter
cinnamon,4259,1991,0.3375099095073334,0.21015620864724194,1.6059954244504917,0.1896069447506146,0.2857808718775258,0.663469683974764,0.11408281524637985,0.23873846990843414,0.47785685855377735,0.3588003304956736,0.265324449566811,1.3523078294574,autumn,winter,autumn,summer
caramel,4008,1937,0.2972564863726937,0.21015620864724194,1.4144549346703055,0.22466014170883214,0.2857808718775258,0.7861272877812215,0.16327270165833607,0.23873846990843414,0.6838977468564565,0.31481067026013726,0.265324449566811,1.1865121015953157,autumn,winter,autumn,summer
tuberose,3931,1867,0.20112702950609884,0.21015620864724194,0.9570358677515969,0.305920664846557,0.2857808718775258,1.0704728515828108,0.22969677563865143,0.23873846990843414,0.9621272002235309,0.2632555300086924,0.265324449566811,0.9922023034006233,spring,spring,autumn,winter
nutty,3619,1890,0.27924572339132087,0.21015620864724194,1.3287531459993611,0.23181892166223964,0.2857808718775258,0.8111771797014738,0.17667362906303094,0.23873846990843414,0.7400299965514248,0.3122617258834084,0.265324449566811,1.1769052056575666,autumn,winter,autumn,summer
aldehydic,3556,1516,0.1712056148478458,0.21015620864724194,0.8146588480534652,0.3119769814136177,0.2857808718775258,1.0916650206992107,0.28895362920298423,0.23873846990843414,1.2103354323825968,0.22786377453555104,0.265324449566811,0.8588118241932806,spring,summer,spring,winter
honey,3467,1582,0.27228940647460326,0.21015620864724194,1.295652449324755,0.24486520405448808,0.2857808718775258,0.8568285289556659,0.17085607868001942,0.23873846990843414,0.7156621165644131,0.3119893107908885,0.265324449566811,1.1758784812340743,autumn,winter,autumn,summer
almond,3438,1733,0.2713632865117341,0.21015620864724194,1.2912456322774237,0.25115643242841007,0.2857808718775258,0.8788426978277455,0.16964037608023366,0.23873846990843414,0.7105699225822198,0.3078399049796217,0.265324449566811,1.16023949350399,autumn,winter,autumn,summer
coconut,3269,1610,0.16217080745924448,0.21015620864724194,0.7716679345479465,0.27414726569509673,0.2857808718775258,0.9592918654562199,0.35779641629465186,0.23873846990843414,1.4986961105676906,0.20588551055100648,0.265324449566811,0.7759763975281996,summer,summer,spring,winter
