note,perfume_count,occurrence_count,strict_match_status,strict_matched_term,strict_ifra_level,material_family_candidate,alias_candidate,final_auto_status
Opoponax,1010,1010,UNMATCHED,,,Opoponax absolute | Opoponax CO2 extract | Opoponax extract | Opoponax oil | Opoponax resinoid,,CANDIDATE_ONLY
Pine,1005,1017,MATCH_SECONDARY_DESCRIPTOR,Pine,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Peru Balsam,1005,1006,UNMATCHED,,,Peru balsam distillate,,CANDIDATE_ONLY
Watery Notes,1004,1008,UNMATCHED,,,,,UNMATCHED
Water Notes,1001,1006,UNMATCHED,,,,,UNMATCHED
Herbal Notes,997,1001,UNMATCHED,,,,,UNMATCHED
Star Anise,983,984,UNMATCHED,,,Star anise CO2 extract | Star anise extract | Star anise oil | Star anise oil terpeneless | Star anise oil terpenes,,CANDIDATE_ONLY
Resins,981,983,UNMATCHED,,,,,UNMATCHED
Hazelnut,963,966,UNMATCHED,,,,,UNMATCHED
Salt,939,948,UNMATCHED,,,,,UNMATCHED
Licorice,937,945,MATCH_SECONDARY_DESCRIPTOR,Licorice,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Red Fruits,935,938,UNMATCHED,,,,,UNMATCHED
Black Tea,927,932,UNMATCHED,,,,,UNMATCHED
Eucalyptus,923,926,MATCH_SECONDARY_DESCRIPTOR,Eucalyptus,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Marigold,921,932,MATCH_SECONDARY_DESCRIPTOR,Marigold,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Watermelon,910,915,MATCH_SECONDARY_DESCRIPTOR,Watermelon,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Davana,910,911,UNMATCHED,,,Davana oil,,CANDIDATE_ONLY
Tolu Balsam,903,906,UNMATCHED,,,"Tolu, balsam, extract | Tolu, balsam, resinoid",,CANDIDATE_ONLY
Coumarin,895,895,MATCH_PRINCIPAL_EXACT,Coumarin,PRINCIPAL,,,STRICT_MATCH
Immortelle,892,894,UNMATCHED,,,,,UNMATCHED
Whipped Cream,891,892,UNMATCHED,,,,,UNMATCHED
Angelica,883,888,UNMATCHED,,,Angelica root oil | Angelica seed absolute | Angelica seed extract | Angelica seed oil,,CANDIDATE_ONLY
African Orange Flower,883,883,UNMATCHED,,,,,UNMATCHED
Pomegranate,881,881,UNMATCHED,,,,,UNMATCHED
Fir,876,876,UNMATCHED,,,Fir absolute,,CANDIDATE_ONLY
Citron,867,869,UNMATCHED,,,"Citron oil | Citron oil, rectified",,CANDIDATE_ONLY
Sicilian Lemon,864,864,UNMATCHED,,,,,UNMATCHED
Grass,848,853,UNMATCHED,,,,,UNMATCHED
Fruits,839,844,UNMATCHED,,,,,UNMATCHED
Cognac,829,831,UNMATCHED,,,,,UNMATCHED
Atlas Cedar,800,802,UNMATCHED,,,,,UNMATCHED
Papyrus,792,795,UNMATCHED,,,,,UNMATCHED
Marshmallow,789,802,UNMATCHED,,,,,UNMATCHED
Hay,777,782,MATCH_SECONDARY_DESCRIPTOR,Hay,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Flowers,773,783,UNMATCHED,,,,,UNMATCHED
Sea water,762,768,UNMATCHED,,,,,UNMATCHED
Brazilian Rosewood,761,762,UNMATCHED,,,,,UNMATCHED
White Amber,751,752,UNMATCHED,,,,,UNMATCHED
Caraway,744,751,MATCH_SECONDARY_DESCRIPTOR,Caraway,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Pink Grapefruit,738,738,UNMATCHED,,,,,UNMATCHED
Sweet Orange,734,735,UNMATCHED,,,,,UNMATCHED
Balsam Fir,727,727,UNMATCHED,,,Balsam fir oleoresin,,CANDIDATE_ONLY
Fig Leaf,725,730,UNMATCHED,,,,,UNMATCHED
Amyris,725,727,UNMATCHED,,,"Amyris oil | Amyris oil, acetylated | Amyris oil, rectified",,CANDIDATE_ONLY
Tiare Flower,719,719,UNMATCHED,,,,,UNMATCHED
Sea Salt,713,715,UNMATCHED,,,,,UNMATCHED
Dark Chocolate,712,719,UNMATCHED,,,,,UNMATCHED
Mate,704,706,UNMATCHED,,,Mate absolute | Mate extract | Mate oil,,CANDIDATE_ONLY
