system,short,population,family,family_ko,fragrantica_id,brand,name,top1,family_mass_ratio
S8B,8B,korea200,FLORAL,플로럴,1360,Chanel,Chanel N°5 Eau Premiere,0.7519,0.6762
S8B,8B,korea200,FLORAL,플로럴,87956,Rance 1795,Mathilde,0.7401,0.7677
S8B,8B,korea200,FLORAL,플로럴,111273,Chloé,Chloé Le Parfum,0.6717,0.6295
S8B,8B,korea200,GREEN,그린·아로마틱,43531,Etat Libre d'Orange,You Or Someone Like You,0.5358,1.0
S8B,8B,korea200,GREEN,그린·아로마틱,35456,John Varvatos,Artisan Blu,0.4875,0.9281
S8B,8B,korea200,GREEN,그린·아로마틱,64092,Nishane,EGE / ΑΙΓΑΙΟ,0.4703,1.0
S8B,8B,korea200,GREEN,그린·아로마틱,16657,Versace,Eros,0.4605,0.7917
S8B,8B,korea200,GREEN,그린·아로마틱,3865,Diptyque,Philosykos Eau de Parfum,0.4566,0.5984
S8B,8B,korea200,AQUATIC,아쿠아틱,53671,Parfums Berdoues,Azur Riviera,0.5397,0.9663
S8B,8B,korea200,AQUATIC,아쿠아틱,108587,Yugen,Inspire,0.5,0.6565
S8B,8B,korea200,AQUATIC,아쿠아틱,47891,Maison Martin Margiela,Sailing Day,0.4698,0.9123
S8B,8B,korea200,AQUATIC,아쿠아틱,95642,Issey Miyake,Le Sel d’Issey,0.4555,1.0
S8B,8B,korea200,AQUATIC,아쿠아틱,1198,Ralph Lauren,Polo Blue,0.4413,0.9342
S8B,8B,korea200,WOODY,우디,46187,Jo Malone London,English Oak & Hazelnut,0.845,0.7771
S8B,8B,korea200,WOODY,우디,85144,Essential Parfums,Patchouli Mania,0.5644,0.9171
S8B,8B,korea200,WOODY,우디,32523,Mercedes-Benz,Mercedes Benz Man,0.5534,0.8967
S8B,8B,korea200,WOODY,우디,109564,Sennok,Slow September,0.5351,1.0
S8B,8B,korea200,WOODY,우디,44174,Nishane,Hacivat,0.5272,0.8958
S8B,8B,korea200,AMBER,앰버·스파이시,57088,Essential Parfums,Divine Vanille,0.806,0.6986
S8B,8B,korea200,AMBER,앰버·스파이시,76893,Mancera,Tonka Cola,0.5543,0.7747
S8B,8B,korea200,AMBER,앰버·스파이시,37603,Nishane,Fan Your Flames,0.5462,0.4878
S8B,8B,korea200,AMBER,앰버·스파이시,115749,BMW Fragrances,BMW M 2025,0.5225,1.0
S8B,8B,korea200,AMBER,앰버·스파이시,2186,Montale,Chocolate Greedy,0.4968,0.3613
S8B,8B,korea200,MUSK,머스크·파우더리,76824,Sabrina Carpenter,Sweet Tooth,0.7465,0.2572
S8B,8B,korea200,MUSK,머스크·파우더리,50384,Ariana Grande,Cloud,0.678,0.1954
S8B,8B,korea200,MUSK,머스크·파우더리,124051,Postes,From.Saint-Tropez,0.5683,0.8429
S8B,8B,korea200,MUSK,머스크·파우더리,93865,SW19,Midnight,0.5583,0.9129
S8B,8B,korea200,MUSK,머스크·파우더리,109565,Sennok,Soap Clean Soap,0.5429,0.8495
S7,7,korea200,CITRUS,시트러스,92647,Versace,Eros Energy,0.5556,0.9326
S7,7,korea200,CITRUS,시트러스,30567,Nishane,Wulóng Chá,0.5,0.7812
S7,7,korea200,CITRUS,시트러스,30796,Chanel,Chance Eau Vive,0.4975,0.7585
