source,source_rank,ranking_basis,ranking_updated_at,source_product_id,brand_raw,product_name_raw,package_info_raw,price_raw,commerce_price_raw,review_count,review_rating,is_rank_new,rank_delta,collected_at,source_file,har_entry_index
hwahae,78,카테고리별 랭킹,2026-09-03T05:00:00,2076016,센녹,퍼퓸 [애프터배스],50ml,76000,,13,4.54,false,-3,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,146
hwahae,79,카테고리별 랭킹,2026-09-03T05:00:00,1872024,CK,씨케이 올 EDT,100ml,,,17,4.47,false,-1,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,146
hwahae,80,카테고리별 랭킹,2026-09-03T05:00:00,2010773,코치,EDT,30ml,61000,,18,4.78,false,0,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,146
hwahae,81,카테고리별 랭킹,2026-09-03T05:00:00,2011798,디올,쟈도르 퍼퓸 도,30ML,128000,,12,4.5,false,1,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,170
hwahae,82,카테고리별 랭킹,2026-09-03T05:00:00,2010590,랑방,레 플레르 드 EDT [블루오키드],50ml,63000,,19,4.68,false,1,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,170
hwahae,83,카테고리별 랭킹,2026-09-03T05:00:00,1734823,지미추,EDT,40ml,83000,,349,4.15,false,1,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,170
hwahae,84,카테고리별 랭킹,2026-09-03T05:00:00,1828132,몽블랑,레전드 오 드 뚜왈렛,100ml,130000,,23,4.61,false,-3,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,170
hwahae,85,카테고리별 랭킹,2026-09-03T05:00:00,1734821,버버리,마이 버버리 오드퍼퓸,50ml,183000,,18,4.28,false,7,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,170
hwahae,86,카테고리별 랭킹,2026-09-03T05:00:00,1737120,CK,비 오 드 뚜왈렛,,,,66,4.0,false,2,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,170
hwahae,87,카테고리별 랭킹,2026-09-03T05:00:00,2079022,탬버린즈,에그 퍼퓸 [펌키니],14mL,45800,,11,4.45,false,-1,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,170
hwahae,88,카테고리별 랭킹,2026-09-03T05:00:00,1854558,클린,쿨 코튼 오 드 퍼퓸,30ml,60000,,16,4.62,false,-1,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,170
hwahae,89,카테고리별 랭킹,2026-09-03T05:00:00,1863215,메블릭퍼퓸,케라 오 드 퍼퓸,50ml,60000,,32,4.25,false,2,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,170
hwahae,90,카테고리별 랭킹,2026-09-03T05:00:00,1966434,에디션드퍼퓸프레데릭말,포트레이트 오브 어 레이디,50ml,450000,,10,4.4,false,-5,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,170
hwahae,91,카테고리별 랭킹,2026-09-03T05:00:00,2011908,조말론,피오니 앤 블러쉬 스웨이드 코롱,30ml,110000,,32,4.44,false,-2,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,170
hwahae,92,카테고리별 랭킹,2026-09-03T05:00:00,2025306,데일리콤마,모스트오드퍼퓸 [텐더파리],30ml,3000,,11,3.91,false,2,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,170
hwahae,93,카테고리별 랭킹,2026-09-03T05:00:00,1765825,디올,옴므 코롱,75 mL,150000,,31,4.42,false,-3,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,170
hwahae,94,카테고리별 랭킹,2026-09-03T05:00:00,1791851,입생로랑뷰티,몽파리 오 드 뚜왈렛 루미에르,50ml,175000,,32,4.28,false,-1,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,170
hwahae,95,카테고리별 랭킹,2026-09-03T05:00:00,1969119,디올,소바쥬 오 드 뚜왈렛,60 mL,140000,,41,4.2,false,0,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,170
hwahae,96,카테고리별 랭킹,2026-09-03T05:00:00,1764627,조말론,얼 그레이 앤 큐컴버 코롱,100ml,239000,,34,4.26,false,0,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,170
hwahae,97,카테고리별 랭킹,2026-09-03T05:00:00,1831130,몽블랑,익스플로러 오 드 퍼퓸,100ml,142000,,30,4.47,false,1,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,170
hwahae,98,카테고리별 랭킹,2026-09-03T05:00:00,1754734,프라다,캔디 EDP,30ml,153000,,27,4.11,false,-1,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,170
hwahae,99,카테고리별 랭킹,2026-09-03T05:00:00,1734175,랑방,루머2 로즈 EDP,30ML,66000,,284,4.12,true,0,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,170
hwahae,100,카테고리별 랭킹,2026-09-03T05:00:00,2017159,딥티크,오 드 퍼퓸 필로시코스,75ml,0,,16,4.31,true,0,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,170
