candidate_family_id,canonical_brand,normalized_fragrance_name,commercial_identity_count,has_hwahae_signal,best_hwahae_rank,commercial_identity_ids,best_musinsa_rank,best_oliveyoung_rank,best_lotte_rank,family_priority_rrf
cf_a233df19cdf4,John Varvatos,아티산 블루,1,False,,ci_135a36451863,120.0,90.0,,0.012222222222222223
cf_bc72c197c272,Nishane,우롱차 엑스트레 드 3종,1,False,,ci_6b994e4f8017,,,22.0,0.012195121951219513
cf_0f75cf52bfb2,John Varvatos,아티산 블랙,1,False,,ci_ce6521f1d93a,168.0,70.0,,0.012078272604588394
cf_471f4344ffcb,무신사 스탠다드 뷰티,무신사 스탠다드 미드나잇 램블러,1,False,,ci_7b5e6d8fb388,23.0,,,0.012048192771084338
cf_ca1a7dffc4a1,Forment,박지훈 시그니처 코튼베이비,1,False,,ci_f149cc2700c4,,23.0,,0.012048192771084338
cf_603ec8ac65c5,Rance 1795,데지레 포 우먼,1,False,,ci_06fde7bcef85,,,23.0,0.012048192771084338
cf_c61a925388a3,Rance 1795,마틸드,1,False,,ci_ede5ddfd0fce,,,24.0,0.011904761904761904
cf_14264746a3cb,Issey Miyake,르셀디세이,2,False,,ci_09d4167c0459|ci_ead83e6160b4,114.0,104.0,,0.011844687412391365
cf_88ce78989c50,뉴뉴,샤인30,1,False,,ci_44bff09ef9ae,25.0,,,0.011764705882352941
cf_abcfb4a89806,Essential Parfums,에센셜 더 머스크 바이 칼리스 베커 2종,1,False,,ci_943d8f44d22e,,,25.0,0.011764705882352941
cf_05882a62fdd0,Essential Parfums,에센셜 오렌지상탈 바이 나탈리 그라시아세토 2종,1,False,,ci_efe9bf7b788d,,,26.0,0.011627906976744186
cf_02430e44b5a2,Elizabeth Arden,그린티 스트로베리 바질,1,False,,ci_4a2f80f67c34,111.0,115.0,,0.011562238930659982
cf_b80f77dd693b,Clean,웜코튼,1,False,,ci_28ef15b9cc2a,,27.0,,0.011494252873563218
cf_29a8a7b99590,Essential Parfums,에센셜 피그 인퓨전 바이 나탈리 로슨 2종,1,False,,ci_479dbdac0a43,,,27.0,0.011494252873563218
cf_4e9d7e026953,리베르,김켄지 첫눈 스노우 사이 Snow Sai,1,False,,ci_68d02e396164,28.0,,,0.011363636363636364
cf_a33f8db6535b,퓨레앙스,화이트 블룸,1,False,,ci_c48800ffc2b0,,,28.0,0.011363636363636364
cf_b67f94f1560e,LOIVIE,베르가못 앤 화이트 로즈,2,False,,ci_6a221cc81cac|ci_c56b3b5c17ef,29.0,,,0.011235955056179775
cf_d268959c7e59,BMW Fragrances,앰버니스,1,False,,ci_2a6bca13c7e1,,,29.0,0.011235955056179775
cf_eab09c0afe5c,센틀리에,오렌지블라썸 토스카나,1,False,,ci_037e2669dbac,56.0,341.0,,0.011114455241207327
cf_7c2c5a9254e2,Jill Stuart,화이트 플로럴 000상당,1,False,,ci_b0631f739e4f,30.0,,,0.011111111111111112
cf_bbcc457b8655,BMW Fragrances,더 센트 오브 앰버니스,1,False,,ci_0b81c33195e9,,,30.0,0.011111111111111112
cf_012fe93e0bf3,Parfums Berdoues,그랑크뤼 아쌈 오브 인디아,1,False,,ci_8340a84c1a24,,,31.0,0.01098901098901099
cf_1d6b62cd16e9,Ralph Lauren,폴로 랄프,1,False,,ci_489e92661f61,88.0,179.0,,0.0109408571751668
cf_7561cdd7a2cd,투데이이즈,인유어메모리 오드,1,False,,ci_6ddaef18703e,32.0,,,0.010869565217391304
cf_0969dea96bf9,Clean,& 휩드바닐라,1,False,,ci_e138e63c4dbd,,32.0,,0.010869565217391304
cf_e008eb3a3acc,누다라,시그니처 오키탈,1,False,,ci_de7b96871680,33.0,,,0.010752688172043012
cf_98b92cc2e516,John Varvatos,아티산 중,1,False,,ci_ecc1ed6c7ff8,,34.0,,0.010638297872340425
cf_19ba80df35e3,Mancera,인텐스 세드라 부아제,1,False,,ci_eac325a6dc15,,,34.0,0.010638297872340425
cf_ae3008448f74,Banana Republic,다크체리 & 앰버,1,False,,ci_cff22b02dea9,,,35.0,0.010526315789473684
cf_d96afb511ff7,Clean,웜코튼 중,1,False,,ci_d49aa1d6db5e,,36.0,,0.010416666666666666
