fragrantica_id,accord_name,strength,rank
45029,powdery,51,7
45029,lavender,46,8
106298,citrus,100,1
106298,aromatic,43,2
106298,fresh spicy,43,3
106298,amber,30,4
106298,green,27,5
106298,musky,25,6
106298,lavender,20,7
106298,herbal,17,8
1923,fresh spicy,100,1
1923,citrus,83,2
1923,ozonic,76,3
1923,aquatic,68,4
1923,aromatic,65,5
1923,fresh,42,6
1923,woody,40,7
1923,powdery,34,8
93865,powdery,100,1
93865,musky,58,2
93865,white floral,45,3
93865,floral,33,4
93865,fresh,27,5
93865,green,18,6
93865,aquatic,16,7
93865,woody,13,8
95034,fruity,100,1
95034,citrus,89,2
95034,sweet,84,3
95034,floral,81,4
95034,fresh,38,5
95034,woody,38,6
95034,musky,36,7
95034,powdery,31,8
82586,fruity,100,1
82586,fresh,97,2
82586,aquatic,66,3
82586,floral,63,4
82586,green,41,5
82586,musky,31,6
82586,citrus,29,7
82586,sweet,23,8
116396,white floral,100,1
116396,musky,94,2
116396,tuberose,73,3
116396,sweet,70,4
116396,green,65,5
116396,animalic,64,6
116396,fruity,53,7
116396,woody,52,8
74107,white floral,100,1
74107,oud,90,2
74107,woody,87,3
74107,leather,87,4
74107,warm spicy,73,5
74107,animalic,48,6
74107,powdery,40,7
74107,vanilla,38,8
1929,floral,100,1
1929,fresh spicy,58,2
1929,rose,57,3
1929,woody,54,4
1929,green,52,5
1929,powdery,48,6
1929,aromatic,39,7
1929,warm spicy,33,8
90739,citrus,100,1
90739,white floral,80,2
90739,sweet,56,3
90739,musky,26,4
90739,vanilla,26,5
90739,fresh,26,6
90739,powdery,23,7
90739,aromatic,21,8
44174,woody,100,1
44174,citrus,78,2
44174,mossy,60,3
44174,fruity,53,4
44174,earthy,53,5
44174,sweet,47,6
44174,fresh spicy,31,7
44174,tropical,29,8
35456,aromatic,100,1
35456,fresh spicy,87,2
35456,citrus,72,3
35456,woody,66,4
35456,green,58,5
35456,fresh,34,6
35456,herbal,30,7
35456,lavender,26,8
30567,citrus,100,1
30567,fresh spicy,36,2
30567,aromatic,33,3
30567,sweet,24,4
30567,fruity,20,5
30567,musky,18,6
30567,powdery,14,7
30567,woody,11,8
8339,citrus,100,1
8339,white floral,37,2
8339,woody,32,3
8339,aromatic,29,4
8339,fresh spicy,28,5
8339,leather,25,6
8339,fruity,22,7
8339,fresh,20,8
54976,citrus,100,1
54976,fresh spicy,68,2
54976,aromatic,55,3
54976,rose,51,4
54976,white floral,31,5
54976,musky,29,6
54976,woody,22,7
54976,floral,21,8
104985,citrus,100,1
104985,woody,66,2
104985,fresh,62,3
104985,fruity,61,4
104985,musky,45,5
104985,white floral,37,6
104985,aromatic,34,7
104985,powdery,32,8
87956,white floral,100,1
87956,fresh,59,2
87956,rose,51,3
87956,green,48,4
87956,yellow floral,37,5
87956,floral,37,6
87956,sweet,33,7
87956,citrus,31,8
95642,marine,100,1
95642,woody,79,2
95642,salty,70,3
95642,aromatic,52,4
95642,earthy,46,5
95642,aquatic,45,6
95642,fresh spicy,41,7
95642,mossy,39,8
50790,musky,100,1
50790,powdery,69,2
50790,lavender,53,3
50790,beeswax,51,4
50790,woody,45,5
50790,animalic,40,6
50790,honey,38,7
50790,fresh spicy,36,8
50786,woody,100,1
50786,citrus,93,2
50786,fresh spicy,54,3
50786,aromatic,51,4
50786,fresh,34,5
50786,powdery,29,6
50786,mossy,24,7
50786,warm spicy,23,8
121230,green,100,1
121230,fruity,80,2
121230,sweet,58,3
121230,fresh spicy,30,4
121230,fresh,27,5
121230,woody,22,6
121230,aromatic,22,7
121230,ozonic,16,8
3024,citrus,100,1
3024,aromatic,77,2
3024,marine,69,3
3024,musky,42,4
3024,fresh spicy,31,5
3024,salty,28,6
3024,fresh,27,7
3024,white floral,24,8
73092,woody,100,1
73092,fruity,65,2
73092,citrus,60,3
73092,sweet,52,4
73092,green,33,5
73092,powdery,31,6
73092,warm spicy,27,7
73092,white floral,22,8
106299,aromatic,100,1
106299,warm spicy,56,2
106299,amber,51,3
106299,woody,48,4
106299,fresh spicy,44,5
106299,citrus,31,6
106299,musky,30,7
106299,soft spicy,26,8
31436,citrus,100,1
31436,green,78,2
31436,fresh,59,3
31436,woody,34,4
31436,aromatic,33,5
31436,ozonic,26,6
31436,powdery,17,7
31436,warm spicy,13,8
890,woody,100,1
890,aromatic,96,2
890,fresh spicy,54,3
890,earthy,34,4
890,tobacco,34,5
890,leather,30,6
890,herbal,27,7
890,mossy,27,8
72796,woody,100,1
72796,citrus,78,2
72796,animalic,76,3
72796,warm spicy,60,4
72796,leather,55,5
72796,fresh,40,6
72796,fruity,40,7
72796,powdery,37,8
98468,citrus,100,1
98468,fresh spicy,47,2
98468,aromatic,39,3
98468,sweet,28,4
98468,soft spicy,28,5
98468,rose,21,6
98468,herbal,16,7
98468,musky,12,8
59392,sweet,100,1
59392,floral,97,2
59392,cherry,74,3
59392,amber,69,4
59392,nutty,48,5
59392,woody,38,6
59392,fruity,36,7
59392,fresh,29,8
60320,sweet,100,1
60320,woody,97,2
60320,white floral,93,3
60320,fruity,85,4
60320,rose,74,5
60320,floral,52,6
60320,amber,49,7
60320,warm spicy,43,8
54885,woody,100,1
54885,warm spicy,99,2
54885,vanilla,63,3
54885,amber,60,4
54885,powdery,56,5
54885,citrus,44,6
54885,musky,36,7
54885,metallic,35,8
122211,white floral,100,1
122211,fresh,82,2
122211,musky,76,3
122211,aldehydic,60,4
122211,powdery,56,5
122211,vanilla,33,6
122211,animalic,29,7
122211,woody,20,8
10728,powdery,100,1
10728,white floral,93,2
10728,warm spicy,84,3
10728,vanilla,69,4
10728,woody,65,5
10728,sweet,50,6
10728,citrus,50,7
10728,floral,44,8
76893,warm spicy,100,1
76893,coca-cola,73,2
76893,vanilla,61,3
76893,cinnamon,56,4
76893,amber,48,5
76893,citrus,46,6
76893,sweet,46,7
76893,cherry,45,8
94718,woody,100,1
94718,citrus,37,2
94718,fruity,37,3
94718,aromatic,31,4
94718,green,22,5
94718,powdery,21,6
94718,fresh,18,7
94718,camphor,17,8
115749,warm spicy,100,1
115749,aromatic,98,2
115749,lavender,78,3
115749,cinnamon,70,4
115749,fresh spicy,70,5
115749,amber,62,6
115749,woody,53,7
115749,patchouli,47,8
109565,aldehydic,100,1
109565,musky,100,2
109565,fresh,62,3
109565,powdery,60,4
109565,soapy,30,5
109565,rose,20,6
109565,white floral,20,7
109565,woody,20,8
75731,citrus,100,1
75731,vanilla,41,2
75731,aromatic,37,3
75731,sweet,35,4
75731,green,29,5
