condition,seed,family,family_ko,signal,contributors,area_share,largest_blob_share,pieces,weighted_coverage,spread,has_territory
0.28,2,AQUATIC,아쿠아틱,4.41,12,0.0487,0.7658,2,0.6978,0.511,True
0.28,2,WOODY,우디,11.21,29,0.1503,0.981,2,0.7267,0.519,True
0.28,2,AMBER,앰버·스파이시,5.84,16,0.0799,1.0,1,0.7095,0.352,True
0.28,2,GOURMAND,구르망,10.97,24,0.0628,0.8566,2,0.7466,0.365,True
0.28,2,MUSK,머스크·파우더리,9.43,26,0.0764,0.7989,3,0.7589,0.625,True
0.28,3,CITRUS,시트러스,8.83,27,0.0882,0.9974,1,0.7276,0.224,True
0.28,3,FRUITY,프루티,2.93,9,0.0294,0.9219,2,0.895,0.13,False
0.28,3,FLORAL,플로럴,29.91,70,0.2755,0.8499,4,0.7794,0.489,True
0.28,3,GREEN,그린·아로마틱,11.08,32,0.1588,0.686,4,0.7797,0.425,True
0.28,3,AQUATIC,아쿠아틱,4.41,12,0.0687,0.7793,3,1.0,0.568,True
0.28,3,WOODY,우디,11.21,29,0.1434,0.9119,4,0.6782,0.485,True
0.28,3,AMBER,앰버·스파이시,5.84,16,0.0825,1.0,1,0.8008,0.322,True
0.28,3,GOURMAND,구르망,10.97,24,0.0869,0.8677,2,0.7118,0.353,True
0.28,3,MUSK,머스크·파우더리,9.43,26,0.0666,0.931,2,0.7145,0.692,True
0.28,4,CITRUS,시트러스,8.83,27,0.0951,1.0,1,0.8451,0.285,True
0.28,4,FRUITY,프루티,2.93,9,0.041,0.7143,2,0.895,0.191,True
0.28,4,FLORAL,플로럴,29.91,70,0.2999,0.894,4,0.7755,0.539,True
0.28,4,GREEN,그린·아로마틱,11.08,32,0.1632,1.0,1,0.6561,0.462,True
0.28,4,AQUATIC,아쿠아틱,4.41,12,0.0513,0.6957,3,0.737,0.487,True
0.28,4,WOODY,우디,11.21,29,0.1426,0.9178,3,0.7351,0.595,True
0.28,4,AMBER,앰버·스파이시,5.84,16,0.0737,1.0,1,0.7522,0.349,True
0.28,4,GOURMAND,구르망,10.97,24,0.0499,0.7877,2,0.7736,0.307,True
0.28,4,MUSK,머스크·파우더리,9.43,26,0.0831,0.8188,3,0.7466,0.81,True
0.26,42,CITRUS,시트러스,10.18,32,0.1141,0.9856,2,0.7563,0.296,True
0.26,42,FRUITY,프루티,3.47,11,0.0464,0.689,2,0.9114,0.173,True
0.26,42,FLORAL,플로럴,30.73,73,0.2805,0.8848,3,0.7586,0.528,True
0.26,42,GREEN,그린·아로마틱,12.14,36,0.161,0.737,2,0.7056,0.472,True
0.26,42,AQUATIC,아쿠아틱,4.67,13,0.0504,0.913,3,0.8653,0.477,True
0.26,42,WOODY,우디,12.01,32,0.113,0.9758,3,0.6298,0.574,True
0.26,42,AMBER,앰버·스파이시,6.66,19,0.0986,0.9981,1,0.7429,0.483,True
0.26,42,GOURMAND,구르망,11.51,26,0.0635,0.7931,2,0.6604,0.388,True
0.26,42,MUSK,머스크·파우더리,11.06,32,0.0726,0.7864,3,0.6786,0.729,True
0.26,1,CITRUS,시트러스,10.18,32,0.0928,1.0,1,0.6983,0.267,True
0.26,1,FRUITY,프루티,3.47,11,0.04,1.0,1,0.9114,0.158,True
0.26,1,FLORAL,플로럴,30.73,73,0.2951,0.9084,3,0.7257,0.559,True
0.26,1,GREEN,그린·아로마틱,12.14,36,0.1722,0.7923,2,0.7145,0.463,True
0.26,1,AQUATIC,아쿠아틱,4.67,13,0.0418,0.9065,3,0.8653,0.523,True
0.26,1,WOODY,우디,12.01,32,0.1523,0.9625,2,0.6298,0.505,True
0.26,1,AMBER,앰버·스파이시,6.66,19,0.0838,0.9964,1,0.6602,0.39,True
0.26,1,GOURMAND,구르망,11.51,26,0.0514,0.9123,3,0.7108,0.318,True
0.26,1,MUSK,머스크·파우더리,11.06,32,0.0706,0.834,2,0.6811,0.73,True
0.26,2,CITRUS,시트러스,10.18,32,0.1069,1.0,1,0.7595,0.285,True
0.26,2,FRUITY,프루티,3.47,11,0.0331,0.755,2,0.9114,0.152,True
0.26,2,FLORAL,플로럴,30.73,73,0.2829,0.8953,3,0.7598,0.529,True
0.26,2,GREEN,그린·아로마틱,12.14,36,0.1479,0.7878,2,0.6531,0.463,True
0.26,2,AQUATIC,아쿠아틱,4.67,13,0.0467,0.7934,2,0.6486,0.488,True
0.26,2,WOODY,우디,12.01,32,0.1492,0.9735,2,0.7061,0.508,True
0.26,2,AMBER,앰버·스파이시,6.66,19,0.1084,0.998,1,0.7029,0.454,True
0.26,2,GOURMAND,구르망,11.51,26,0.0527,0.8875,2,0.6791,0.382,True
0.26,2,MUSK,머스크·파우더리,11.06,32,0.0722,0.8511,4,0.6301,0.656,True
0.26,3,CITRUS,시트러스,10.18,32,0.0977,0.9976,1,0.751,0.237,True
0.26,3,FRUITY,프루티,3.47,11,0.0241,0.9429,2,0.8338,0.131,False
0.26,3,FLORAL,플로럴,30.73,73,0.2691,0.8839,3,0.7431,0.488,True
0.26,3,GREEN,그린·아로마틱,12.14,36,0.1413,0.748,4,0.733,0.421,True
0.26,3,AQUATIC,아쿠아틱,4.67,13,0.0717,0.7821,4,1.0,0.542,True
0.26,3,WOODY,우디,12.01,32,0.1369,0.9228,4,0.6788,0.47,True
0.26,3,AMBER,앰버·스파이시,6.66,19,0.1121,0.998,1,0.7429,0.444,True
0.26,3,GOURMAND,구르망,11.51,26,0.0731,0.8868,2,0.6081,0.36,True
0.26,3,MUSK,머스크·파우더리,11.06,32,0.074,0.8665,4,0.6571,0.715,True
0.26,4,CITRUS,시트러스,10.18,32,0.1057,1.0,1,0.7863,0.305,True
0.26,4,FRUITY,프루티,3.47,11,0.0335,0.7417,2,0.9114,0.179,True
0.26,4,FLORAL,플로럴,30.73,73,0.2977,0.9147,4,0.741,0.542,True
0.26,4,GREEN,그린·아로마틱,12.14,36,0.1618,1.0,1,0.6568,0.459,True
0.26,4,AQUATIC,아쿠아틱,4.67,13,0.0472,0.7515,3,0.7517,0.465,True
0.26,4,WOODY,우디,12.01,32,0.1314,0.9575,2,0.6805,0.577,True
0.26,4,AMBER,앰버·스파이시,6.66,19,0.0848,1.0,1,0.7029,0.455,True
0.26,4,GOURMAND,구르망,11.51,26,0.0446,0.8812,2,0.6784,0.324,True
0.26,4,MUSK,머스크·파우더리,11.06,32,0.0932,0.7485,5,0.7008,0.832,True
0.24,42,CITRUS,시트러스,11.17,36,0.1181,0.9861,2,0.7328,0.311,True
0.24,42,FRUITY,프루티,4.22,14,0.0681,1.0,1,0.7492,0.377,True
0.24,42,FLORAL,플로럴,31.46,76,0.2641,0.895,3,0.7215,0.558,True
0.24,42,GREEN,그린·아로마틱,12.89,39,0.1652,0.7315,2,0.6836,0.475,True
0.24,42,AQUATIC,아쿠아틱,4.67,13,0.0434,0.9874,1,0.8103,0.477,True
0.24,42,WOODY,우디,12.01,32,0.1124,0.987,1,0.6298,0.574,True
0.24,42,AMBER,앰버·스파이시,7.91,24,0.0955,1.0,1,0.6562,0.515,True
0.24,42,GOURMAND,구르망,13.0,32,0.0666,0.7671,2,0.5614,0.485,True
0.24,42,MUSK,머스크·파우더리,12.31,37,0.0666,0.8932,2,0.6095,0.87,True
0.24,1,CITRUS,시트러스,11.17,36,0.0944,0.9968,1,0.7009,0.278,True
0.24,1,FRUITY,프루티,4.22,14,0.0502,1.0,1,0.7492,0.341,True
0.24,1,FLORAL,플로럴,31.46,76,0.2846,0.9092,3,0.6885,0.59,True
0.24,1,GREEN,그린·아로마틱,12.89,39,0.1692,0.7922,2,0.6675,0.46,True
0.24,1,AQUATIC,아쿠아틱,4.67,13,0.0391,0.9692,1,0.8103,0.523,True
0.24,1,WOODY,우디,12.01,32,0.1544,0.965,2,0.6525,0.505,True
0.24,1,AMBER,앰버·스파이시,7.91,24,0.0778,1.0,1,0.5867,0.431,True
0.24,1,GOURMAND,구르망,13.0,32,0.0676,0.7733,2,0.6295,0.42,True
0.24,1,MUSK,머스크·파우더리,12.31,37,0.0628,0.9378,2,0.5898,0.868,True
0.24,2,CITRUS,시트러스,11.17,36,0.1154,1.0,1,0.7845,0.298,True
0.24,2,FRUITY,프루티,4.22,14,0.0531,1.0,1,0.7492,0.342,True
0.24,2,FLORAL,플로럴,31.46,76,0.269,0.916,4,0.7159,0.56,True
0.24,2,GREEN,그린·아로마틱,12.89,39,0.1497,0.7757,2,0.6341,0.461,True
0.24,2,AQUATIC,아쿠아틱,4.67,13,0.0395,0.9056,2,0.5912,0.488,True
0.24,2,WOODY,우디,12.01,32,0.1433,1.0,1,0.6547,0.508,True
0.24,2,AMBER,앰버·스파이시,7.91,24,0.0994,1.0,1,0.6225,0.489,True
0.24,2,GOURMAND,구르망,13.0,32,0.065,0.7939,2,0.6242,0.49,True
0.24,2,MUSK,머스크·파우더리,12.31,37,0.0656,0.9766,1,0.5443,0.788,True
0.24,3,CITRUS,시트러스,11.17,36,0.0986,0.9977,1,0.7279,0.252,True
0.24,3,FRUITY,프루티,4.22,14,0.0547,1.0,1,0.7492,0.359,True
0.24,3,FLORAL,플로럴,31.46,76,0.2576,0.8814,2,0.6946,0.516,True
0.24,3,GREEN,그린·아로마틱,12.89,39,0.1441,0.7432,3,0.6904,0.427,True
